	PREDATOR	PREY
1	ACA_SPP	ACA_SPP
2	ACA_SPP	AUT_FLA
3	ACA_SPP	DIATOM
4	ACA_SPP	HET_FLA
5	ACA_SPP	MIX_FLA
6	ACA_SPP	PROZOO
7	ACT_G_SP	AUT_FLA
8	ACT_G_SP	DIATOM
9	ACT_G_SP	GAM_IND
10	ACT_G_SP	HET_FLA
11	ACT_G_SP	MAC_IND
12	ACT_G_SP	POL_IND
13	AGL_DIG	CAL_FIN
14	AGL_DIG	OIT_SIM
15	AGL_DIG	ONC_BOR
16	AGL_MAL	LUM_MIN
17	AGL_MAL	LUM_SP
18	AGL_MAL	POL_IND
19	AGL_MAL	POLY_IND
20	AGO_CAT	CHL_ISL
21	AGO_CAT	GAM_IND
22	AGO_CAT	OPH_ACU
23	AGO_CAT	OPH_BID
24	AGO_CAT	OPH_SER
25	AGO_CAT	OPH_SP
26	AGO_CAT	OST_IND
27	AGO_CAT	PAG_SP
28	AGO_CAT	POL_IND
29	AGO_CAT	THE_ABY
30	AGO_CAT	THE_LIB
31	AGO_CAT	THY_INE
32	AGO_CAT	THY_LON
33	ALL_ALL	ACA_SPP
34	ALL_ALL	APH_GLA
35	ALL_ALL	BEN_LAR
36	ALL_ALL	CAL_FIN
37	ALL_ALL	CAL_GLA
38	ALL_ALL	CAL_HYP
39	ALL_ALL	CLI_LIM
40	ALL_ALL	FI_LA
41	ALL_ALL	FRI_BOR
42	ALL_ALL	GAM_WIL
43	ALL_ALL	LIM_HEL
44	ALL_ALL	LIM_RET
45	ALL_ALL	MEG_NOR
46	ALL_ALL	MET_LON
47	ALL_ALL	MIC_SPP
48	ALL_ALL	OIK_DIO
49	ALL_ALL	OIK_SPP
50	ALL_ALL	OIK_VAN
51	ALL_ALL	OIT_SIM
52	ALL_ALL	OIT_SPI
53	ALL_ALL	ONC_BOR
54	ALL_ALL	OST_IND
55	ALL_ALL	PAR_NOR
56	ALL_ALL	PAR_SPP
57	ALL_ALL	PSE_SPP
58	ALL_ALL	SAB_SP
59	ALL_ALL	SAG_SPP
60	ALL_ALL	THE_ABY
61	ALL_ALL	THE_LIB
62	ALL_ALL	THY_INE
63	ALL_ALL	THY_LON
64	ALL_ALL	THY_RAS
65	AMB_HYP	ARC_RIS
66	AMB_HYP	CLU_HAR
67	AMB_HYP	COT_MIC
68	AMB_HYP	FOR_IND
69	AMB_HYP	GAD_MOR
70	AMB_HYP	HIP_PLA
71	AMB_HYP	LYC_ESM
72	AMB_HYP	LYC_EUD
73	AMB_HYP	LYC_GRA
74	AMB_HYP	LYC_KOL
75	AMB_HYP	LYC_PAL
76	AMB_HYP	LYC_RET
77	AMB_HYP	LYC_ROS
78	AMB_HYP	LYC_SEM
79	AMB_HYP	MAC_BER
80	AMB_HYP	MAL_VIL
81	AMB_HYP	MEL_AEG
82	AMB_HYP	MIC_POU
83	AMB_HYP	PAN_BOR
84	AMB_HYP	POL_IND
85	AMB_HYP	REI_HIP
86	AMB_HYP	ROS_SP
87	AMB_HYP	SEB_MAR
88	AMB_HYP	SEB_MEN
89	AMB_HYP	SEB_SPP
90	AMB_HYP	THE_ABY
91	AMB_HYP	THE_LIB
92	AMB_HYP	THY_INE
93	AMB_HYP	THY_LON
94	AMB_RAD	AMB_RAD
95	AMB_RAD	AMM_SPP
96	AMB_RAD	ANA_DEN
97	AMB_RAD	ANA_LUP
98	AMB_RAD	ANA_MIN
99	AMB_RAD	ARC_RIS
100	AMB_RAD	ARR_PHY
101	AMB_RAD	ART_ATL
102	AMB_RAD	BOR_SAI
103	AMB_RAD	BRO_BRO
104	AMB_RAD	CHI_OPI
105	AMB_RAD	CLU_HAR
106	AMB_RAD	COT_MIC
107	AMB_RAD	CUC_FRO
108	AMB_RAD	ELE_ARC
109	AMB_RAD	EUP_FLAM
110	AMB_RAD	GAD_MOR
111	AMB_RAD	GAM_IND
112	AMB_RAD	GLY_CYN
113	AMB_RAD	GON_FAB
114	AMB_RAD	HIP_PLA
115	AMB_RAD	HYA_SP
116	AMB_RAD	LEP_DEC
117	AMB_RAD	LIP_FAB
118	AMB_RAD	LIP_GIB
119	AMB_RAD	LIP_MON
120	AMB_RAD	LUM_LAM
121	AMB_RAD	LUM_SP
122	AMB_RAD	LYC_ESM
123	AMB_RAD	MAC_BER
124	AMB_RAD	MAL_VIL
125	AMB_RAD	MEG_NOR
126	AMB_RAD	MEL_AEG
127	AMB_RAD	MER_MER
128	AMB_RAD	MET_LON
129	AMB_RAD	MIC_POU
130	AMB_RAD	OPH_SP
131	AMB_RAD	PAG_SP
132	AMB_RAD	PAN_BOR
133	AMB_RAD	PAR_CAM
134	AMB_RAD	POL_IND
135	AMB_RAD	POL_VIR
136	AMB_RAD	PON_NOR
137	AMB_RAD	PYC_G_SP
138	AMB_RAD	REI_HIP
139	AMB_RAD	RHA_SP
140	AMB_RAD	ROS_SP
141	AMB_RAD	SAB_SP
142	AMB_RAD	SEB_MAR
143	AMB_RAD	SEB_MEN
144	AMB_RAD	SEB_SPP
145	AMB_RAD	THE_ABY
146	AMB_RAD	THE_LIB
147	AMB_RAD	THY_INE
148	AMB_RAD	THY_LON
149	AMB_RAD	THY_RAS
150	AMB_RAD	TRI_ESM
151	AMB_RAD	TRI_MUR
152	AMB_RAD	TRI_NYB
153	AMB_RAD	ULC_OLR
154	AMM_SPP	ACA_SPP
155	AMM_SPP	CAL_FIN
156	AMM_SPP	CAL_GLA
157	AMM_SPP	CAL_HYP
158	AMM_SPP	FI_LA
159	AMM_SPP	MET_LON
160	AMM_SPP	MET_LUC
161	AMM_SPP	MIC_SPP
162	AMM_SPP	OIK_SPP
163	AMM_SPP	OIT_SIM
164	AMM_SPP	ONC_BOR
165	AMM_SPP	PSE_SPP
166	AMM_SPP	SAG_SPP
167	AMM_SPP	THE_ABY
168	AMM_SPP	THY_LON
169	ANA_DEN	ANA_LUP
170	ANA_DEN	AUR_AUR
171	ANA_DEN	BER_SP
172	ANA_DEN	BOL_INF
173	ANA_DEN	CAL_FIN
174	ANA_DEN	CAL_GLA
175	ANA_DEN	CAL_HYP
176	ANA_DEN	CTE_CRI
177	ANA_DEN	EUP_FLAM
178	ANA_DEN	GOR_SP
179	ANA_DEN	MEL_AEG
180	ANA_DEN	MER_OVU
181	ANA_DEN	MIC_POU
182	ANA_DEN	OPH_BID
183	ANA_DEN	OPH_SP
184	ANA_DEN	PAG_SP
185	ANA_DEN	PAN_BOR
186	ANA_DEN	POL_IND
187	ANA_DEN	SAB_SP
188	ANA_DEN	SAG_SPP
189	ANA_DEN	SEB_SPP
190	ANA_LUP	ASC_G_SP
191	ANA_LUP	AST_SP
192	ANA_LUP	BAL_SP
193	ANA_LUP	BRY_IND
194	ANA_LUP	BUC_SP
195	ANA_LUP	CAL_FIN
196	ANA_LUP	CAL_GLA
197	ANA_LUP	CAL_HYP
198	ANA_LUP	CHL_ISL
199	ANA_LUP	COL_SP
200	ANA_LUP	CTE_CRI
201	ANA_LUP	FI_LA
202	ANA_LUP	GAD_MOR
203	ANA_LUP	MAC_SP
204	ANA_LUP	MEG_NOR
205	ANA_LUP	OPH_BID
206	ANA_LUP	OPH_SP
207	ANA_LUP	PAG_SP
208	ANA_LUP	PAN_BOR
209	ANA_LUP	POL_IND
210	ANA_LUP	PON_NOR
211	ANA_LUP	POR_G_SP
212	ANA_LUP	SAB_SP
213	ANA_LUP	STRO_SP
214	ANA_LUP	THY_INE
215	ANA_LUP	THY_LON
216	ANA_LUP	THY_RAS
217	ANA_MIN	BUC_SP
218	ANA_MIN	CAL_FIN
