TROPHOSPECIES	ABBREVIATION	PHYLUM_SUBPYLUM	CLASS	ORDER	FAMILY	GROUP
SAGITTA_ELEGANS	SAG_ELE	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	1_Plankton
EUPHYSA_FLAMMEA	EUP_FLAM	Cnidaria	Hydrozoa	Anthoathecata	Corymorphidae	1_Plankton
SARSIA_SPP	SAR_SPP	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	1_Plankton
DIMOPHYES_ARCTICA	DIM_ARC	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	1_Plankton
AGLANTHA_DIGITALE	AGL_DIG	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	1_Plankton
EUKROHNIA_HAMATA	EUK_HAM	Cnidaria	Sagittoidea	Phragmophora	Eukrohniidae	1_Plankton
CYANEA_CAPILLATA	CYA_CAP	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	1_Plankton
AURELIA_AURITA	AUR_AUR	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	1_Plankton
ACARTIA_SPP	ACA_SPP	Crustacea	Copepoda	Calanoida	Acartiidae	1_Plankton
CALANUS_FINMARCHICUS	CAL_FIN	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CALANUS_GLACIALIS	CAL_GLA	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CALANUS_HELGOLANDICUS	CAL_HEL	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
CALANUS_HYPERBOREUS	CAL_HYP	Crustacea	Copepoda	Calanoida	Calanidae	1_Plankton
MICROCALANUS_SPP	MIC_SPP	Crustacea	Copepoda	Calanoida	Clausocalanidae	1_Plankton
PSEUDOCALANUS_SPP	PSE_SPP	Crustacea	Copepoda	Calanoida	Clausocalanidae	1_Plankton
PAREUCHAETA_GLACIALIS	PAR_GLA	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
PAREUCHAETA_NORVEGICA	PAR_NOR	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
PAREUCHAETA_SPP	PAR_SPP	Crustacea	Copepoda	Calanoida	Euchaetidae	1_Plankton
METRIDIA_LONGA	MET_LON	Crustacea	Copepoda	Calanoida	Metridinidae	1_Plankton
METRIDIA_LUCENS	MET_LUC	Crustacea	Copepoda	Calanoida	Metridinidae	1_Plankton
OITHONA_SIMILIS	OIT_SIM	Crustacea	Copepoda	Cyclopoida	Oithonidae	1_Plankton
OITHONA_SPINIROSTRIS/ATLANTICA	OIT_SPI	Crustacea	Copepoda	Cyclopoida	Oithonidae	1_Plankton
ONCAEA_BOREALIS	ONC_BOR	Crustacea	Copepoda	Poecilostomatoida	Oncaeidae	1_Plankton
APHERUSA_GLACIALIS	APH_GLA	Crustacea	Malacostraca	Amphipoda/Gammarida	Calliopiidae	1_Plankton
GAMMARUS_WILKITZKII	GAM_WIL	Crustacea	Malacostraca	Amphipoda/Gammaridea	Gammaridae	1_Plankton
ONISIMUS_GLACIALIS	ONI_GLA	Crustacea	Malacostraca	Amphipoda/Gammaridea	Uristidae	1_Plankton
ONISIMUS_NANSENI	ONI_NAN	Crustacea	Malacostraca	Amphipoda/Gammaridea	Uristidae	1_Plankton
THEMISTO_ABYSSORUM	THE_ABY	Crustacea	Malacostraca	Amphipoda/Hyperiidea	Hyperiidae	1_Plankton
THEMISTO_LIBELLULA	THE_LIB	Crustacea	Malacostraca	Amphipoda/Hyperiidea	Hyperiidae	1_Plankton
MEGANYCTIPHANES_NORVEGICA	MEG_NOR	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
NEMATOSCELIS_MEGALOPS	NEM_MEG	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
STYLOCHEIRON_MAXIMUM	STYL_MAX	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_INERMIS	THY_INE	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_LONGICAUDATA	THY_LON	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_RASCHII	THY_RAS	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
THYSANOESSA_SP	THY_SP	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	1_Plankton
BEROE_CUCUMIS	BER_CUC	Ctenophora	Nuda	Beroida	Beroidae	1_Plankton
MERTENSIA_OVUM	MER_OVU	Ctenophora	Tentaculata	Cydippida	Mertensiidae	1_Plankton
BOLINOPSIS_INFUNDIBULUM	BOL_INF	Ctenophora	Tentaculata	Lobata	Bolinopsidae	1_Plankton
DIATOM	DIA_IND	Heterokontophyta	Bacillariophyceae	Diatom	Diatom	1_Plankton
MACROALGAE	MAC_IND	Macroalgae	Macroalgae	Macroalgae	Macroalgae	1_Plankton
MIXOTROPHS	MIX_IND	Mixothrops	Mixothrops	Mixothrops	Mixothrops	1_Plankton
CLIONE_LIMACINA	CLI_LIM	Mollusca	Gastropoda	Gymnosomata	Clionidae	1_Plankton
LIMACINA_HELICINA	LIM_HEL	Mollusca	Gastropoda	Thecosomata	Limacinidae	1_Plankton
LIMACINA_RETROVERSA	LIMA_RET	Mollusca	Gastropoda	Thecosomata	Limacinidae	1_Plankton
DETRITUS	DET_IND	NA	NA	NA	NA	1_Plankton
FRITILLARIA_BOREALIS	FRI_BOR	Tunicata	Appendicularia	Copelata	Fritillariidae	1_Plankton
OIKOPLEURA_DIOICA	OIK_DIO	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
OIKOPLEURA_SPP	OIK_SPP	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
OIKOPLEURA_VANHOEFFENI	OIK_VAN	Tunicata	Appendicularia	Copelata	Okiopleuridae	1_Plankton
PARAMPHINOME_JEFFREYSII	PAR_JEF	Annelida	Polychaeta	Amphinomida	Amphinomidae	2_Benthos
SPIRORBIDAE_INDET	SPI_IND	Annelida	Polychaeta	Canalipalpata	Spirorbidae	2_Benthos
LUMBRINERIS_SP	LUM_SP	Annelida	Polychaeta	Eunicida	Lumbrineridae	2_Benthos
HETEROMASTUS_FILIFORMIS	HET_FIL	Annelida	Polychaeta	NA	Capitellidae	2_Benthos
EUCLYMENINAE_INDET	EUC_IND	Annelida	Polychaeta	NA	Maldanidae	2_Benthos
LUMBRICLYMENE_MINOR	LUM_MIN	Annelida	Polychaeta	NA	Maldanidae	2_Benthos
MALDANE_SARSI	MAL_SAR	Annelida	Polychaeta	NA	Maldanidae	2_Benthos
POLYCHAETA	POLY_IND	Annelida	Polychaeta	NA	NA	2_Benthos
SCALIBREGMA_INFLATUM	SCA_INF	Annelida	Polychaeta	NA	Scalibragmatidae	2_Benthos
APHRODITA_ACULEATA	APH_ACU	Annelida	Polychaeta	Phyllodocida	Aphroditidae	2_Benthos
POLYNOIDAE_INDET	POL_IND	Annelida	Polychaeta	Phyllodocida	NA	2_Benthos
AGLAOPHAMUS_MALMGRENI	AGL_MAL	Annelida	Polychaeta	Phyllodocida	Nephtyidae	2_Benthos
GALATHOWENIA_SP	GAL_SP	Annelida	Polychaeta	Sabellida	Oweniidae	2_Benthos
CHONE_SP	CHO_SP	Annelida	Polychaeta	Sabellida	Sabellidae	2_Benthos
SPIOCHAETOPTERUS_TYPICUS	SPI_TYP	Annelida	Polychaeta	Spionida	Chaetopteridae	2_Benthos
PRIONOSPIO_CIRRIFERA	PRI_CIR	Annelida	Polychaeta	Spionida	Spionidae	2_Benthos
SPIOPHANES_KROEYERI	SPI_KRO	Annelida	Polychaeta	Spionida	Spionidae	2_Benthos
APHELOCHAETA_MARIONI	APH_MAR	Annelida	Polychaeta	Terebellida	Cirratulidae	2_Benthos
CHAETOZONE_SP	CHA_SP	Annelida	Polychaeta	Terebellida	Cirratulidae	2_Benthos
CIRRATULIDAE_INDET	CIR_IND	Annelida	Polychaeta	Terebellida	NA	2_Benthos
TEREBELLIDES_STROEMI	TER_STRO	Annelida	Polychaeta	Terebellida	Trichobranchidae	2_Benthos
PYCNOGONIDA_G_SP	PYC_G_SP	Arthropoda	NA	NA	NA	2_Benthos
ELECTRA_ARCTICA	ELE_ARC	Bryozoa	Gymnolaemata	Cheilostomatida	Electrodea	2_Benthos
ASCIDIACEA_G_SP	ASC_G_SP	Chordata	Ascidiacea	NA	NA	2_Benthos
METRIDIUM_SENILE	MET_SEN	Cnidaria	Anthozoa	Actiniaria	Metridiidae	2_Benthos
