TROPHOSPECIES	ABBREVIATION	GROUP
DETRITUS	DET_IND	1_Basal
AUTOTHROPH_FLAGELLAT	AUT_FLA	1_Basal
BACTERIA_INDET	BAC_IND	1_Basal
DIATOM	DIATOM	1_Basal
HETEROTROPH_FLAGELLAT	HET_FLA	1_Basal
ICE_ALGAE	ICE_ALG	1_Basal
MACROALGAE	MAC_IND	1_Basal
MIXOTROPH_FLAGELLATES	MIX_FLA	1_Basal
PHYTOPLANKTON_INDET	PHY_IND	1_Basal
PROTOZOOPLANKTON	PROZOO	1_Basal
ACARTIA_SPP	ACA_SPP	2_Zooplankton
AGLANTHA_DIGITALE	AGL_DIG	2_Zooplankton
APHERUSA_GLACIALIS	APH_GLA	2_Zooplankton
AURELIA_AURITA	AUR_AUR	2_Zooplankton
BEROE_SP	BER_SP	2_Zooplankton
BOLINOPSIS_INFUNDIBULUM	BOL_INF	2_Zooplankton
CALANUS_FINMARCHICUS	CAL_FIN	2_Zooplankton
CALANUS_GLACIALIS	CAL_GLA	2_Zooplankton
CALANUS_HYPERBOREUS	CAL_HYP	2_Zooplankton
CLIONE_LIMACINA	CLI_LIM	2_Zooplankton
CYANEA_CAPILLATA	CYA_CAP	2_Zooplankton
DIMOPHYES_ARCTICA	DIM_ARC	2_Zooplankton
EUKROHNIA_HAMATA	EUK_HAM	2_Zooplankton
EUPHYSA_FLAMMEA	EUP_FLAM	2_Zooplankton
FRITILLARIA_BOREALIS	FRI_BOR	2_Zooplankton
GAMMARUS_WILKITZKII	GAM_WIL	2_Zooplankton
LIMACINA_HELICINA	LIM_HEL	2_Zooplankton
LIMACINA_RETROVERSA	LIM_RET	2_Zooplankton
MEGANYCTIPHANES_NORVEGICA	MEG_NOR	2_Zooplankton
MERTENSIA_OVUM	MER_OVU	2_Zooplankton
METRIDIA_LONGA	MET_LON	2_Zooplankton
METRIDIA_LUCENS	MET_LUC	2_Zooplankton
MICROCALANUS_SPP	MIC_SPP	2_Zooplankton
NEMATOSCELIS_MEGALOPS	NEM_MEG	2_Zooplankton
OIKOPLEURA_DIOICA	OIK_DIO	2_Zooplankton
OIKOPLEURA_SPP	OIK_SPP	2_Zooplankton
OIKOPLEURA_VANHOEFFENI	OIK_VAN	2_Zooplankton
OITHONA_SIMILIS	OIT_SPI	2_Zooplankton
OITHONA_SPINIROSTRIS/ATLANTICA	OIT_SIM	2_Zooplankton
ONCAEA_BOREALIS	ONC_BOR	2_Zooplankton
ONISIMUS_GLACIALIS	ONI_GLA	2_Zooplankton
ONISIMUS_NANSENI	ONI_NAN	2_Zooplankton
PAREUCHAETA_GLACIALIS	PAR_GLA	2_Zooplankton
PAREUCHAETA_NORVEGICA	PAR_NOR	2_Zooplankton
PAREUCHAETA_SPP	PAR_SPP	2_Zooplankton
PSEUDOCALANUS_SPP	PSE_SPP	2_Zooplankton
SAGITTA_SPP	SAG_SPP	2_Zooplankton
SARSIA_SPP	SAR_SPP	2_Zooplankton
THEMISTO_ABYSSORUM	THE_ABY	2_Zooplankton
THEMISTO_LIBELLULA	THE_LIB	2_Zooplankton
THYSANOESSA_INERMIS	THY_INE	2_Zooplankton
THYSANOESSA_LONGICAUDATA	THY_LON	2_Zooplankton
THYSANOESSA_RASCHII	THY_RAS	2_Zooplankton
ACTINIARIA_G_SP	ACT_G_SP	3_Benthos
