POLY_NO	DET_IND	AUT_FLA	BAC_IND	DIATOM	HET_FLA	ICE_ALG	MAC_IND	MIX_FLA	PHY_IND	PROZOO	ACA_SPP	AGL_DIG	APH_GLA	AUR_AUR	BER_CUC	BOL_INF	CAL_FIN	CAL_GLA	CAL_HYP	CLI_LIM	CYA_CAP	DIM_ARC	EUK_HAM	EUP_FLAM	FRI_BOR	GAM_WIL	LIM_HEL	LIM_RET	MEG_NOR	MER_OVU	MET_LON	MET_LUC	MIC_SPP	NEM_MEG	OIK_DIO	OIK_SPP	OIK_VAN	OIT_SIM	OIT_SPI	ONC_BOR	ONI_GLA	ONI_NAN	PAR_GLA	PAR_NOR	PAR_SPP	PSE_SPP	SAG_ELE	SAR_SPP	THE_ABY	THE_LIB	THY_INE	THY_LON	THY_RAS	ACT_G_SP	AGL_MAL	APH_MAR	ARR_PHY	ASC_G_SP	ASE_IND	AST_SP	AST_RUB	BAL_SP	BAT_GLA	BEN_EGG_LAR	BRY_IND	BUC_SP	CHA_SP	CHI_OPI	CHL_ISL	CHO_SP	CIO_INT	CIR_IND	COL_SP	CRO_PAP	CTE_CRI	CUC_FRO	ELE_ARC	ERY_SP	EUC_IND	FOR_IND	GAL_SP	GAM_IND	GEO_SP	GON_FAB	GOR_SP	HEL_GLA	HET_FIL	HYA_SP	HYD_IND	LUM_MIN	LUM_SP	MAC_SP	MAL_SAR	MEN_FER	MOL_BOR	MYR_HEE	NEP_SP	NYC_COU	OPH_BID	OPH_SER	OPH_ACU	OPH_BOR	OPH_GLA	OPH_SP	OST_IND	PAG_SP	PAN_BOR	PAR_CAM	PAR_JEF	PHA_STR	POL_IND	POLY_IND	PON_TEN	PON_NOR	POR_G_SP	PRI_CIR	PYC_G_SP	RHA_SP	ROS_SP	SAB_SP	SCA_INF	SCL_SP	SIM_GRE	SPI_TYP	SPI_KRO	SPI_IND	STI_TRE	STRO_SP	TER_STRO	THY_GOU	URA_LIN	YOL_SOL	AGO_CAT	AMB_HYP	AMB_RAD	AMM_SPP	ANA_DEN	ANA_LUP	ANA_MIN	ANI_MED	ARC_GLA	ARC_RIS	ARG_SP	ART_ATL	BAT_SPI	BEN_GLA	BOR_SAI	BRO_BRO	CAR_SPP	CLU_HAR	COT_MIC	CYC_LUM	ENC_CIM	ETM_SPI	EUM_SPI	GAD_ARG	GAD_MOR	GAI_ARG	GAS_ACU	GLY_CYN	GYM_SPP	GYM_TRI	HIP_HIP	HIP_PLA	ICE_SPP	LEP_DEC	LEP_MAC	LIM_LIM	LIP_FAB	LIP_GIB	LIP_MON	LUM_FAB	LUM_LAM	LYC_KOL	LYC_ESM	LYC_EUD	LYC_GRA	LYC_PAL	LYC_RET	LYC_ROS	LYC_SEM	MAC_BER	MAL_VIL	MAU_MUE	MEL_AEG	MER_MER	MIC_POU	MIC_KIT	MOL_MOL	MYO_SCO	PAR_BAT	FI_EG_LA	PLE_PLA	POL_POL	POL_VIR	RAJ_FYL	REI_HIP	SCO_SCO	SEB_MAR	SEB_MEN	SEB_SPP	SEB_VIV	SOM_MIC	SQU_ACA	TRI_MUR	TRI_NYB	TRI_PIN	TRI_ESM	ULC_OLR	ALL_ALL	FRA_ARC	FUL_GLA	LAR_ARG	LAR_HYP	LAR_MAR	RIS_TRI	URI_AAL	URI_LOM	BAL_ACU	BAL_PHY	CYS_CRI	DEL_LEU	ERI_BAR	LAG_ALB	MEG_NOV	MON_MON	ODO_ROS	ORC_ORC	PAG_GRO	PHO_HIS	PHO_PHO	PHY_MAC	URS_MAR
5	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0
21	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0
22	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1
23	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1
24	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
25	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0
26	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
27	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0
30	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0
33	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0
